nom_,activites_,breve_description_,objets_ou_materiaux_concernes_,lactivite_de_la_structure_est-elle_en_sommeil_ou_a_letat_de_projet__,statut_juridique_,nombre_de_personnes_physiques_adherentes_ou_membres_du_projet,nombre_de_personnes_morales_adherentes_de_la_structure_,nombre_de_salaries,secteur_geographique_dintervention,description_complete,site_internet,numero_de_telephone,e-mail_en_fait_ils_ne_sont_pas_affiches_sur_le_site_pour_eviter_les_spams,nom_du_premier_local,adresse_du_premier_local,code_postal_du_premier_local,ville_du_premier_local,nom_du_deuxieme_local,adresse_du_deuxieme_local,code_postal_du_deuxieme_local,ville_du_deuxieme_local,logo,page_facebook,page_facebook_,nom_du_premier_contact,fonction_du_premier_contact,moyen_de_joindre_le_premier_contact,nom_du_deuxieme_contact,fonction_du_deuxieme_contact,moyen_de_joindre_le_deuxieme_contact,la_structure_est_une_antenne_locale_dune_structure_nationale_dont_le_siege_nest_pas_en_pays_de_la_loire,lien_vers_fiche_de_presentation_de_la_structure_chez_ecopole,lien_vers_fiche_de_presentation_du_deuxieme_local_chez_cartoquartiers,lien_vers_fiche_de_presentation_structure_dans_annuaire_ville_de_nantes,lien_vers_fiche_de_presentation_du_premier_local_chez_cartoquartiers,categorie_principale,lien_vers_noeud_openstreetmap_du_deuxieme_local,lien_vers_noeud_openstreetmap_du_premier_local,video_de_presentation,images,username,fee_id,expires_on
"Vrac Facile","Vente de produits en vrac;Vente de produits zéro déchet","Epicerie bio, sans emaballage si possible local en livraison ou sur les marchés dans l'agglomération nantaise (44).","","La structure est active.","Entreprise privée ","1-10","1-2","1-2","Agglomération nantaise (44)","Livraison du lundi au jeudi de 15h à 19h dans les villes suivantes : Nantes, Indre, Saint-herblain, Coueron, Sautron, Orvault, Carquefou, Sainte-Luce-sur-Loire, Thouaré-sur-Loire, Basse Goulaine, Saint-Sébastien-sur-Loire, Rezé, Bouguenais.\n\nPlanning des marchés : \nMardi matin : Marché des américains - Nantes\nMercredi matin : Marché de Savenay\nJeudi matin  : Marché de Zola\nVendredi matin : Marché de la marrière - Nantes\nVendredi soir : Marché d'Orvault Chantilly\nSamedi matin : Marché de Ste-luce-sur-Loire\nDimanche matin : Marché de Basse-Indre\n","https://www.vracfacile.fr,","06 83 45 56 13","nicolas@vracfacile.fr","","","","","","","","","1430,,Logo-Vrac-Facile.jpg","https://www.facebook.com/Vracfacile","https://www.facebook.com/Vracfacile,","Nicolas Massé","Gérant","06 83 45 56 13","","","","Non","","","","","","","","https://www.facebook.com/Vracfacile/videos/470476810250532,","Page-Univers-Alimentaire.jpg;Logo-Vrac-Facile-1.jpg","VracFacile","2",""
"Le Drive en Bocal","","","","La structure est active.","","1-10","0","1-2","","Le Drive en Bocal propose des produits sans emballage jetable, en vrac, locaux et ou bio, alimentaire et non alimentaire. Ils sont pré-conditionnés dans des bocaux consignés. Il suffit de se connecter sur www.ledriveenbocal.com pour passer sa commande, choisir le jour et l'heure auxquels on souhaite la récupérer et ensuite passer la chercher sur place dans la zone Pôle Sud à Vertou.","http://www.ledriveenbocal.com,","06-30-20-17-34","contact@ledriveenbocal.com","","ZAC LE chêne ferré","44120","Vertou","","","","","1423,,logojpg.jpg","www.facebook.com/ledriveenbocal","http://www.facebook.com/ledriveenbocal,","LEMENAND","Co gérante","contact@ledriveenbocal.com","DOLLET","Co-gérante","07-87-30-03-74","Non","","","","","","","","","logojpg-500x462-1.jpg","LeDriveEnBocal","2",""
"BricoLowtech","Atelier de couture de tissus récupérés;Atelier sur compostage ou lombricompostage;Ateliers produits zéro ""déchet"";Fabrication de produits zéro déchet;Sensibilisation au gaspillage alimentaire;Solutions de récupération des matières organiques (compostage...);Stand sensibilisation réduction ""déchets""","La BricoLowtech a pour objectif de favoriser l'émergence et le partage de pratiques alternatives et écologiques pour répondre aux besoins essentiels du quotidien. L'association anime le partage de savoir-faire dans le quartier Nantes Sud, expérimente les low-tech et propose une solution de ""compostage"" en appartement avec le seau bokashi.","__toutes les matières habituelles d'un particulier;déchets organiques riches (restes alimentaires...)","La structure est active.","Association","21-50","0","0","Principalement le quartier Nantes Sud et quartiers avoisinants","La BricoLowtech est une association qui anime le partage de savoir-faire dans le quartier Nantes Sud afin d'apprendre ensemble à se débrouiller autrement dans tous les aspects de la vie quotidienne. Différents objets et solutions low-tech sont fabriquées et testées par les habitant.e.s (toilettes sèches, point d'eau économe, marmite norvégienne, produits et accessoires zéro déchet...). La BricoLowtech propose également une solution pour trier et valoriser les déchets de cuisine en appartement avec le seau bokashi version low-tech. \nDes ateliers de partage de savoir-faire gratuits et ouverts à tou.te.s sont organisés à la Maison des Confluences. L'association intervient aussi lors de différents événements en BricoLowtech Mobile, vélo-carriole aménagée tout en récup pour mobiliser les habitant.e.s.","","0695918724","bricoLowtech@gmail.com","","4, place du muguet Nantais (à la Maison des Confluences)\n","44200","Nantes","","","","","1411,,logo-XL.png","https://www.facebook.com/BricoLowtech/","","Anne-Sophie Leroux","Co-présidente","bricolowtech@gmail.com","Claude Legros","Co-président","bricolowtech@gmail.com","Non","","","https://www.nantes.fr/infonantes/association/25756,","","","","","","capture-stand-complet.png;seau-et-son-bokashi-scaled.jpg;IMG_20190115_151556-scaled.jpg;IMG_20200212_151038.jpg;carriole.jpg","BricoLowtech","2",""
"L'Atelier du Furoshiki","Ateliers produits zéro ""déchet"";Créateur d'objets du mode de vie zéro déchet (cosmétiques, lingettes, couches....);Créations artisanales autour de matériaux réemployés (upcycling);Fabrication de produits zéro déchet;Formations (zéro déchet ou économie circulaire, transition énergétique...);Information sur la réduction des déchets à la source (hors stand);Organise ou tient des conférences;Recyclage de tissu/vêtement (hors atelier couture);Sensibilisation ou ateliers avec des scolaires;Vente de produits d'occasion;Vente de produits zéro déchet","Depuis 10 ans,  L’Atelier du Furoshiki propose des animations autour du furoshiki, technique japonaise du pliage et nouage de tissu utilisée pour emballer les cadeaux, le transport des objets de la vie quotidienne et qui permet de réduire ses déchets à la source. ","tissus et vêtements","La structure est active.","Entreprise privée ","1-10","1-2","0","Agglomération nantaise principalement, mais aussi dans toute la France.","L'Atelier du Furoshiki propose des conférences, démonstrations, expositions et ateliers d’initiation au furoshiki pour enfants et adultes qui ont envie de découvrir et pratiquer cette technique « zéro déchet » ainsi que le réemploi textile. \n*Edition d'ouvrages :\nFuroshiki, l’art d’emballer avec du tissu, Aurélie Le Marec, édition 2018, Editions Neva/Un Dimanche APrès Midi, Paris, 128 p.\nLe furoshiki, un jeu d’enfant, Aurélie Le Marec, Editions Neva/Un Dimanche APrès Midi, Paris, 2019, 48 p.\n*Vente de furoshiki de réemploi, de furoshiki en teintures naturelles et furoshiki japonais.","http://www.latelierdufuroshiki.fr,","06 83 71 59 41","contact@latelierdufuroshiki.fr","","L'Atelier du Furoshiki n'a pas de local. Il intervient au sein de structures : écoles, collectivités, musées, médiathèques, entreprises, etc.","","","","","","","","https://www.facebook.com/latelierdufuroshiki/?ref=bookmarks","https://www.facebook.com/latelierdufuroshiki,","Le Marec Aurélie","micro-entrepreneur","06 83 71 59 41 ou contact@latelierdufuroshiki.fr","","","","Non","http://www.ecopole.com/adherents/atelier-du-furoshiki-l/,","","","","","","","","LogoLAtelierduFuroshiki.jpg","LAtelierDuFuroshiki","2",""
"Le Zeste en Plus","Cours de cuisine zéro déchet zéro gaspi;Organise ou tient des conférences;Sensibilisation au gaspillage alimentaire;Stand sensibilisation réduction ""déchets""","Le Zeste en Plus accompagne les particuliers, les entreprises et les collectivités vers une alimentation durable. ","","La structure est active.","SCOP","1-10","0","1-2","Pays de la Loire","Le Zeste en Plus accompagne les organisations et les citoyens vers une alimentation durable, respectueuse de la santé et la planète. A travers nos ateliers ludiques et interactifs, les participants découvrent des techniques simples et rapides pour mieux manger au quotidien et sont outillés pour changer leurs habitudes alimentaires “zeste” après “zeste”.","http://lezesteenplus.com/,","0679058919","contact@lezesteenplus.com","Solilab","8 rue St Domingue","44200","NANTES","","","","","1398,,LOGO-LZEP_web.png","https://www.facebook.com/LeZesteenPlus/","https://www.facebook.com/LeZesteenPlus/,","Emilie GUILLOU","Dirigeante","emilie@lezesteenplus.com","Julie COUTEAU","Co-dirigeante","julie@lezesteenplus.com","Non","","","","","","","","","20190829_124948-redim.jpg;9327-BLO-100-dpi-NBC.jpg;20191026_140733-redim.jpg","LeZesteEnPlus","2",""
"Plastic Pickup","Organise des collectes citoyenne de déchets","Organise des collectes de déchets citoyens et des prestations auprès des écoles et entreprises pour sensibiliser sur les déchets dans l'environnement et nos océans. Sur les plages, dans le vignoble et en ville.","","La structure est active.","Association","11-20","0","0","Région Nantaise et littoral atlantique proche","","http://www.plastic-pickup.fr,","","contact@plastic-pickup.fr","","","","","","","","","1383,,logo.jpg","www.facebook.com/ppnantes","http://www.facebook.com/ppnantes,","Laurent Authier","Président","laurent@plastic-pickup.fr","","","","Non","","","","","","","","","logo-300x181-1.jpg","PlasticPickup","2",""
"Les autruches utopistes","Éditeur de magazine papier ou vidéo;Organise ou tient des conférences","Association Loi 1901 créée en mars 2019, engagée dans la démarche zéro déchet. Avec notre projet de webdocumentaire « De l’autre côté » on souhaite promouvoir avec des outils médiatiques ce mouvement du zéro déchet comme une solution collective.","__toutes les matières habituelles d'un particulier","La structure est active.","Association","1-10","0","0","Bordeaux, Nantes, Paris","Les autruches utopistes est une association loi 1901, créée en mars 2019 à Bordeaux. \nCette association souhaite documenter l’utopie d’une société zéro déchet. Le zéro déchet est ici vu comme une démarche collective.\nEn proposant des outils médiatiques diversifiés, l’objectif est de prouver qu’un mode de vie zéro déchet répond aux problématiques actuelles et permet de résister ainsi au modèle sociétal imposé. \n\nPortés par une utopie, l'utopie d'une société plus résiliente, plus décroissante, plus altruiste, Les autruches utopistes souhaitent prouver que cette société existe déjà aujourd'hui. La société de demain se construit aujourd'hui et que par conséquent, il est urgent d'agir et l'action doit être collective. \nPour cela, l'association veut aller voir de l'autre côté, là où des citoyens s'engagent et changent leur mode de consommation et leur mode de pensée. C’est la raison pour laquelle l'association a commencé la production d'un webdocumentaire (projet multimédia avec vidéo, article, photo, podcast, illustation) intitulé ""De l'autre côté"".\n","http://autruchesutopistes.com/,","","autruches.utopistes@ecomail-asso.com","","","","","","","","","1362,,logo-AU-2900px-photo-scaled.jpg","https://www.facebook.com/autruchesutopistes/","https://www.facebook.com/autruchesutopistes/,","Charlotte Muckensturm","présidente","email","","","","Non","","","","","","","","https://vimeo.com/330510487,","DLC_Vignettes-pour-publication.jpg;DLC_EPISODE1.Image-fixe019.jpg;DLC_EPISODE1.Image-fixe012.jpg;DLC_EPISODE1.Image-fixe020.jpg;DLC_EPISODE1.Image-fixe004.jpg","AutruchesUtopistes","2",""
"Terra 21","Accompagnement des professionnels sur la réduction des déchets dus à leurs métiers;Information sur la réduction des déchets à la source (hors stand);Information sur le recyclage (hors stand);Organise ou tient des conférences;Sensibilisation au gaspillage alimentaire;Sensibilisation ou ateliers avec des scolaires;Stand sensibilisation réduction ""déchets""","Terra 21 est un bureau d'études installé à Nantes (bilan carbone, gestion des déchets, management environnemental, sensibilisation)","_toutes les matières d'une entreprise non spécialisée","La structure est active.","","1-10","1-2","1-2","Pays de la Loire, France entière","Terra 21 est un  bureau d'étude qui accompagne les organisations privées et publiques dans la prise en compte et le déploiement de démarches environnementales (déchets - ressources, énergie, biodiversité, relation aux parties prenantes)","http://uq3r!q!hkIt@5en%EFVdRjlI,","0689981628","herve.fournier@terra21.fr","4 rue René Viviani 44100 Nantes","","","","","","","","1342,,LogoT21-001.jpg","https://www.facebook.com/terra21sarl/","https://www.facebook.com/terra21sarl/,","Hervé Fournier","Directeur","herve.fournier@terra21.fr","","","","Non","http://www.ecopole.com/adherents/terra-21/,","","","","","","","","LogoT21-001-150x61-1.jpg","Terra21","2",""
"Compost In Situ","Solutions de récupération des matières organiques (compostage...)","Coopérative proposant des solutions clé en main de compostage local, par la collecte de vos bio-déchets et la gestion de silos de compostage","déchets organiques riches (restes alimentaires...);déchets verts (pelouse;taille de haie...);vaisselle jetable","La structure est active.","SCOP","11-20","11-20","2-5","Loire-Atlantique","Compost In Situ regroupe des professionnels de la restauration, des collectivités, des agriculteurs et des salariés autour de son projet de compostage.\nSes activités sont :\n- le compostage local, via la collecte des bio-déchets en palox\n- le compostage sur site, en silos\n- la vente d'équipements de compostage\n- les bio-déchets événementiels, dont les toilettes sèches","https://compostinsitu.fr/,","02 40 77 85 21","direction.nantes@compostinsitu.fr","Titi Forum","7, rue Louis Blériot","44700","Orvault","Plateforme","Le Télégraphe","","Treillières","1334,,logo-Compost-In-Situ-phrase.jpg","https://www.facebook.com/compostinsitu/","https://www.facebook.com/compostinsitu/,","Dana Pfeuty","Directeur","07 62 13 23 80","Florent Peylet","Agent","f.peylet@compostinsitu.fr","Non","","","","","","","","","plan_telegraphe-1.jpg","CompostInSitu","2",""
"AREMACS","Sensibilisation au gaspillage alimentaire;Stand de conseil sur le recyclage;Stand sensibilisation réduction ""déchets"";Tri des déchets sur événements","Association pour le respect de l'environnement lors de manifestations culturelles et sportives\nConseil & gestion éco-responsable des déchets sur événements. Animation et stands de sensibilisation aux enjeux du tri, du zéro déchet et du gaspillage alimentaire. ","","La structure est active.","Association","plus de 100","0","10-25","National dont antenne régionale Grand Ouest basée à Nantes (puis Ile de France, Sud Ouest, Sud Est, Auvergne Rhône Alpes)","L’association AREMACS est une association loi 1901 à but non lucratif créée en 2004, qui a pour objet de limiter les impacts environnementaux des manifestations sociales, culturelles et sportives en sensibilisant le plus grand nombre à l’écologie et en mettant à disposition des organisateurs d’événements des moyens humains et matériels de réduction des impacts.\nDepuis plus de 12 ans, Aremacs agit sur le terrain et apporte des solutions concrètes, locales et efficaces pour mieux gérer les déchets des événements et répondre aux besoins de chacun : Présence d’équipe expérimentée, Mise à disposition de matériel spécifique aux déchets, Formations à l’éco-responsabilité, Diagnostics.\nEn sensibilisant les citoyens, en mobilisant les collectivités et en proposant une offre de service sérieuse et variée aux organisateurs, notre structure essaye de contribuer chaque jour et sans relâche à la diminution de notre empreinte écologique à tous.\nAvec plus de 200 structures accompagnées chaque année, Aremacs est devenu acteur de référence du monde de l’éco-événementiel, pour nous, pour vous et pour la planète.\nDécouvrez toutes nos références et toutes nos actions sur : www.aremacs.com\nIls nous font confiance \n      Nuits sonores (69), Rendez-vous de l’Erdre (44), Evian masters (74), Quiksilver Pro France (40), Run in Marseille (13), Francofolies (17), Ultra Trail du Mont Blanc (74), Région Auvergne Rhône- Alpes (69), Région PACA (13), Métropole de Lyon (69), Nantes Métropole (44), département de la Gironde (33), Ville de Lyon (69)...","https://aremacs.com/,","0601011593","nantes@aremacs.com","Le Solilab","8 rue de Saint Domingue ","44200","Nantes","","","","","1288,,logo-aremacs-trieur-public.png","https://www.facebook.com/AremacsPaysDeLaLoire/","https://www.facebook.com/AremacsPaysDeLaLoire/,","Fanny Garcia","Chargée de projets","0768610606","Coralie Lepecq","Responsable d'antenne régionale","0601011593","Oui","http://www.ecopole.com/adherents/aremacs-pays-de-la-loire/,","","","","","","","https://www.youtube.com/watch?v=0nJkdqj4vEY,","27C64BC8-68C9-4DE7-A076-60DC6338CD28-scaled.jpg;IMG_2134-scaled.jpg","Aremacs","2",""
"Rebelote","Sites informatique ou applications (hors blogs);Vente de produits d'occasion","Rebelote, c'est la seconde main de vos boutiques, en un clic. Vous y trouverez de tout. Toujours de seconde main. Toujours près de chez vous. Toujours de vos boutiques : recycleries, friperies, revendeurs, dépôts-ventes,...","","La structure est active.","Porteur(s) de projet (sans statut particulier)","21-50","11-20","1-2","Bassin nantais","","http://www.rebelote.co,","","equipe.rebelote@gmail.com","","","","","","","","","1184,,Rebelote-Logotype_Rebelote-Logo-Bleu-et-vert.png","https://www.facebook.com/rebelote.co/","https://www.facebook.com/rebelote.co/,","","","","","","","Non","","","","","","","","","Screenshot_20200206-033658.jpg;Screenshot_20200206-033814.jpg;Screenshot_20200206-033753.jpg;Screenshot_20200206-033731.jpg;Rebelote-Logotype_Rebelote-Logo-Bleu-et-vert.png","Rebelote","2",""
"La Galerie du Zéro Déchet","Accompagnement d'écoles dans une démarche zéro déchet;Accompagnement des professionnels sur la réduction des déchets dus à leurs métiers;Atelier de couture de tissus récupérés;Atelier sur compostage ou lombricompostage;Ateliers produits zéro ""déchet"";Conseils ou gestions des couches lavables;Prête ou loue des biens au lieu de les posséder;Sensibilisation ou ateliers avec des scolaires","Tiers lieux dédié à la réduction des déchets en hyper centre de Nantes.\nOuvert au grand public.\nPermanence les mercredis 14h-17h et samedi 14h-17h.\nAteliers les autres jours de l'année.","__toutes les matières habituelles d'un particulier","La structure est active.","Association","21-50","6-10","0","Uniquement à la Galerie","<h3>En plein centre de Nantes, un tiers-lieu tenu dédié à la réduction des déchets. Tenu par une association.</h3>\n<figure class=""wp-block-image""><img class=""wp-image-567"" src=""http://lagalerieduzerodechet.fr/wp-content/uploads/2019/05/galerie-erban2.jpg"" sizes=""(max-width: 400px) 100vw, 400px"" srcset=""http://lagalerieduzerodechet.fr/wp-content/uploads/2019/05/galerie-erban2.jpg 400w, http://lagalerieduzerodechet.fr/wp-content/uploads/2019/05/galerie-erban2-300x200.jpg 300w"" alt="""" /><figcaption>Ce projet citoyen a transformé la Galerie Dulcie (l’ancienne galerie des beaux arts, 140 mètres carrés), située entre la mairie de Nantes et les Galeries Lafayette, en Galerie du Zéro Déchet. C’est un espace convivial qui place la réduction des déchets dans un mode de vie plus durable. Où l’échange est la clé. Un chemin où chacun avance à son rythme.\nEn plein centre de Nantes, un lieu témoin d’expérimentation et de sensibilisation autour des principes du Zéro Déchet animé par les acteurs du territoire.</figcaption></figure>\n<p class=""has-text-align-center""><strong>Les permanences (ouvertes à tous) ont lieues toute l’année le mercredi de 14h-17h et le samedi 14h-17h.</strong></p>\n<p class=""has-text-align-center"">Des ateliers ont lieu toute l’année. Consultez le <a href=""http://lagalerieduzerodechet.fr/?page_id=414"">calendrier</a>.</p>","http://lagalerieduzerodechet.fr,","","contact@lagalerieduzerodechet.fr","La Galerie du Zéro Déchet","5 rue Fénelon (entrée place Dulcie September)","44000","Nantes","","","","","1170,,logo_grand.jpg","https://facebook.com/LaGalerieDuZeroDechet","https://facebook.com/LaGalerieDuZeroDechet,","Christian Renoulin","Président de l'association","Mail à contact@lagalerieduzerodechet.fr","","","","Non","","","","","","","","","20191220_073105-1-scaled.jpg;lagalerieduzerodechet_023.png;galerie-erban23.jpg","chris-ren","2",""
"Mieux trier à Nantes","Information sur la réduction des déchets à la source (hors stand);Information sur le recyclage (hors stand);Sites informatique ou applications (hors blogs)","Création d'outils libres sur la réduction des déchets :\n- application ""Mieux trier à Nantes"" : trier précisément,\n- création de cartes sur la réduction des déchets : CartoVrac.fr ( magasins de vrac CoReparation.fr (Repairs Cafés...), CartOccase.fr (produits d'occasion et dons),\n- jeu de carte ""apprendre à trier"".","__toutes les matières habituelles d'un particulier","La structure est active.","Association","1-10","0","0","Nantes et les environs.","<strong><a href=""http://lagalerieduzerodechet.fr/wp-content/uploads/2020/02/mieuxtrieranantes-dossierpresentationcomplet_201502.pdf"">mieuxtrieranantes-dossierpresentationcomplet_201502 </a>Application sur les sites de tri des déchets et de réemploi</strong>\n\nNous avons créé l’association « Mieux trier à Nantes ». Nous avons développé l’application Android / IPhone « Mieux trier à Nantes » (gratuite) et un site http://mieuxtrieranantes.fr (qui présente le même contenu que l’application) pour les habitants de Nantes Métropole.\nL’objectif est d’aider à trier :\n– savoir si un déchet est recyclable et les façons dont il peut être valorisé (avec des conseils spécifiques à chaque déchet),\n– connaître les emplacements des conteneurs, lieux et horaires des déchetteries et distribution des sacs jaunes et bleus,\n– connaître la filière tri à Nantes : centres de tri, associations nantaises, signification des logos…\n– connaître les organismes de la région qui se proposent de donner une seconde vie à vos déchets,\n– retrouver le mode de collecte et le jour de collecte à domicile (pour les Nantais recherche par rue, hors Nantes recherche par quartier).\nC’est un logiciel libre qui s’appuie notamment sur les données Open Data de Nantes. Ce logiciel a déjà été adapté pour Montpellier, et nous souhaitons qu’il le soit sur d’autres territoires.","https://mieuxtrieranantes.wordpress.com/,","","mieuxtrieranantes@gmail.com","","","","","","","","","1152,,mieux_trier_a_nantes-1.png","https://www.facebook.com/Mieux-trier-%C3%A0-Nantes-266725983531595/","https://www.facebook.com/Mieux-trier-%C3%A0-Nantes-266725983531595/,","Christian Renoulin","Membre actif","Le mail mieuxtrieranantes@gmail.com c'est très bien.","Matthieu Weber","Président de l'association","","Non","http://www.ecopole.com/adherents/mieux-trier-a-nantes/,","","https://www.nantes.fr/infonantes/association/22448#infonantesResult,","","Information : Groupes de pression, Mise en réseau, Journaux, Blogs et Chaînes vidéos, Applications…","","","","Nexu5_Nexus7-14607261082.png;event_reunion-privee-association-mieux-trier-a-nantes_7403252.jpg","chris-ren","2",""
